Magnitude,Place,Felt Reports,Date,Google Map Link
5.21,"15km W of Petrolia, CA",1761,2020-03-18,https://maps.google.com/maps/search/?api=1&query=40.3475%2C28.61
4.58,"5km NE of Magna, Utah",3517,2020-03-18,https://maps.google.com/maps/search/?api=1&query=40.751%2C10.65
6.2,"246km S of Kangin, Indonesia",60,2020-03-18,https://maps.google.com/maps/search/?api=1&query=-11.0591%2C17.59
4.46,"7km NNE of Magna, Utah",1241,2020-03-18,https://maps.google.com/maps/search/?api=1&query=40.7651667%2C8.99
3.89,"7km NE of Magna, Utah",513,2020-03-18,https://maps.google.com/maps/search/?api=1&query=40.7555%2C9.91
3.66,"3km NNE of Magna, Utah",663,2020-03-18,https://maps.google.com/maps/search/?api=1&query=40.7526667%2C11.03
5.7,"6km NNE of Magna, Utah",33091,2020-03-18,https://maps.google.com/maps/search/?api=1&query=40.751%2C11.9
5.5,"158km WSW of Lata, Solomon Islands",0,2020-03-18,https://maps.google.com/maps/search/?api=1&query=-11.0485%2C10
6.1,"97km NNW of Sola, Vanuatu",0,2020-03-18,https://maps.google.com/maps/search/?api=1&query=-13.1372%2C178.82
5.4,"142km N of Tobelo, Indonesia",0,2020-03-18,https://maps.google.com/maps/search/?api=1&query=3.0125%2C100.21
6,"172km E of Hihifo, Tonga",9,2020-03-17,https://maps.google.com/maps/search/?api=1&query=-15.9951%2C10
5.6,"53km NNW of Tome, Chile",141,2020-03-17,https://maps.google.com/maps/search/?api=1&query=-36.162%2C28.54
6.3,"298km NE of Raoul Island, New Zealand",3,2020-03-14,https://maps.google.com/maps/search/?api=1&query=-27.4196%2C10
5.3,"26km NNW of Nanao, Japan",30,2020-03-12,https://maps.google.com/maps/search/?api=1&query=37.2698%2C10
3.1,"0km SSW of South Glens Falls, New York",2620,2020-03-11,https://maps.google.com/maps/search/?api=1&query=43.2925%2C12.55
3.71,"17km NNW of Truckee, CA",969,2020-03-11,https://maps.google.com/maps/search/?api=1&query=39.4751667%2C7.87
5.5,"127km SW of Kuripan, Indonesia",2,2020-03-10,https://maps.google.com/maps/search/?api=1&query=-5.8693%2C19.97
5.5,"209km NNW of Puerto Ayora, Ecuador",0,2020-03-10,https://maps.google.com/maps/search/?api=1&query=1.0863%2C10
4.94,"73km W of Petrolia, CA",407,2020-03-09,https://maps.google.com/maps/search/?api=1&query=40.3648333%2C7.2
5.77,"69km W of Petrolia, CA",2832,2020-03-09,https://maps.google.com/maps/search/?api=1&query=40.3916667%2C3.19
5.2,"30km SSE of Canico, Portugal",161,2020-03-07,https://maps.google.com/maps/search/?api=1&query=32.39%2C4.71
5.5,"53km WSW of Port-Vila, Vanuatu",3,2020-03-07,https://maps.google.com/maps/search/?api=1&query=-17.9138%2C10
5.49,"71km SE of Estacion Coahuila, B.C., MX",4798,2020-03-07,https://maps.google.com/maps/search/?api=1&query=31.6893333%2C9.98
5.2,"23km ESE of Buenos Aires, Costa Rica",256,2020-03-07,https://maps.google.com/maps/search/?api=1&query=9.0672%2C39.88
5.9,Southwest Indian Ridge,0,2020-03-06,https://maps.google.com/maps/search/?api=1&query=-31.3513%2C10
5.4,Southern Mid-Atlantic Ridge,0,2020-03-05,https://maps.google.com/maps/search/?api=1&query=-48.8215%2C10
5.6,"168km ESE of Raoul Island, New Zealand",0,2020-03-05,https://maps.google.com/maps/search/?api=1&query=-29.7716%2C10
5.5,"39km S of Tinogasta, Argentina",0,2020-03-05,https://maps.google.com/maps/search/?api=1&query=-28.4144%2C115.34
5.7,"53km WSW of Amatignak Island, Alaska",1,2020-03-02,https://maps.google.com/maps/search/?api=1&query=51.1334%2C24.44
5.3,"5km NNE of Culasian, Philippines",102,2020-03-01,https://maps.google.com/maps/search/?api=1&query=11.3555%2C6.95
5.7,"117km ESE of Neiafu, Tonga",0,2020-02-28,https://maps.google.com/maps/search/?api=1&query=-18.9008%2C10
5.5,"179km S of Sarangani, Philippines",1,2020-02-27,https://maps.google.com/maps/search/?api=1&query=3.8133%2C122
5.9,"48km NNW of Saumlaki, Indonesia",28,2020-02-26,https://maps.google.com/maps/search/?api=1&query=-7.5625%2C61.16
6,"24km SE of Saray, Turkey",17,2020-02-23,https://maps.google.com/maps/search/?api=1&query=38.4933%2C10
5.8,"26km ESE of Saray, Turkey",15,2020-02-23,https://maps.google.com/maps/search/?api=1&query=38.5429%2C10
5.5,West Chile Rise,0,2020-02-23,https://maps.google.com/maps/search/?api=1&query=-38.1463%2C10
5.5,"62km SSE of `Ohonua, Tonga",0,2020-02-22,https://maps.google.com/maps/search/?api=1&query=-21.8268%2C10
3.52,"2km NNW of Castaic, CA",1610,2020-02-21,https://maps.google.com/maps/search/?api=1&query=34.5075%2C18.06
5.4,"229km NW of Saumlaki, Indonesia",5,2020-02-20,https://maps.google.com/maps/search/?api=1&query=-6.7432%2C163.21
5.8,"153km ENE of Petropavlovsk-Kamchatskiy, Russia",3,2020-02-20,https://maps.google.com/maps/search/?api=1&query=53.6978%2C32.51
